Model,MAE,RMSE,R2
GradientBoosting,41302.14528967377,60344.294525132245,0.9871713520247736
RandomForest,46553.04017796357,65450.938196461204,0.9849082288229324
LinearRegression,58593.2559938275,78695.78422408704,0.9781821779913742
